"prod_date","duration","total","max","co2"
2023-01-27,15,24.321589,3.64545,24.248624
2023-01-28,14,18.383641,3.134864,18.328490
2023-01-29,14,16.570663,2.99432,16.520951
2023-01-30,15,18.345095,2.989678,18.290060
2023-01-31,14,22.261095,2.984719,22.194312
2023-02-01,14,21.050968,3.26275,20.987815
2023-02-02,14,22.595173,3.052474,22.527387
2023-02-03,14,22.219044,3.396292,22.152387
2023-02-04,14,16.457835,2.572742,16.408461
2023-01-09,15,14.836953,2.949734,14.792442
2023-01-10,14,17.153980,2.679458,17.102518
2023-01-11,14,12.682018,2.396357,12.643972
2023-01-12,15,19.146932,3.108639,19.089491
2023-01-13,15,19.090166,2.856723,19.032896
2023-01-14,15,20.522308,3.102937,20.460741
2023-01-15,14,22.248611,3.363196,22.181865
2023-01-16,14,24.093981,3.573677,24.021699
2023-01-17,15,24.380530,3.680534,24.307388
2023-01-18,15,18.481151,3.373368,18.425708
2023-01-19,14,17.685868,2.752062,17.632810
2023-01-20,14,9.735804,1.70083,9.706597
2023-01-21,15,23.490921,3.255113,23.420448
2022-12-26,14,11.230157,2.84586,11.196467
2022-12-27,14,14.172727,2.260787,14.130209
2022-12-28,14,13.751412,2.907663,13.710158
2022-12-29,14,18.640443,2.70091,18.584522
2022-12-30,15,21.133266,3.162368,21.069866
2022-12-31,15,18.102594,2.725515,18.048286
2023-01-01,14,20.076642,3.525014,20.016412
2023-01-02,14,23.613122,3.443551,23.542283
2023-01-03,15,16.648995,3.13935,16.599048
2023-01-04,14,13.915367,1.933521,13.873621
2023-01-05,14,7.614847,1.214982,7.592002
2023-01-06,15,7.087807,0.930541,7.066544
2023-01-07,15,11.476818,2.317264,11.442388
2022-12-12,14,9.465699,2.136152,9.437302
2022-12-13,14,8.216100,2.048884,8.191452
2022-12-14,15,23.259592,2.776987,23.189813
2022-12-15,15,25.268764,3.296754,25.192958
2022-12-16,14,21.919272,3.256323,21.853514
2022-12-17,15,28.234814,3.498056,28.150110
2022-12-18,14,27.318405,3.724825,27.236450
2022-12-19,14,11.610020,1.943766,11.575190
2022-12-20,14,16.399503,3.205177,16.350304
2022-12-21,14,18.480209,2.617478,18.424768
2022-12-22,14,19.256903,2.669523,19.199132
2022-12-23,14,21.654573,3.520278,21.589609
2022-12-24,14,23.226593,3.119933,23.156913
2022-11-28,14,11.856349,2.621674,11.820780
2022-11-29,14,17.857563,2.840603,17.803990
2022-11-30,14,14.265021,3.222599,14.222226
2022-12-01,14,20.938811,3.660063,20.875995
2022-12-02,14,21.678776,3.367878,21.613740
2022-12-03,13,16.221672,2.995474,16.173007
2022-12-04,14,14.577896,2.912728,14.534162
2022-12-05,14,11.858669,2.144535,11.823093
2022-12-06,14,9.760855,1.814349,9.731572
2022-12-07,14,16.713627,2.325962,16.663486
2022-12-08,14,28.790537,3.635958,28.704165
2022-12-09,14,25.208927,3.648869,25.133300
2022-12-10,14,28.063366,3.580795,27.979176
2022-11-14,14,19.798308,3.338847,19.738913
2022-11-15,14,24.141141,3.024717,24.068718
2022-11-16,14,24.243149,3.732665,24.170420
2022-11-17,14,30.483858,3.733465,30.392406
2022-11-18,14,30.648848,3.730012,30.556901
2022-11-19,14,26.769578,3.727144,26.689269
2022-11-20,14,16.965626,3.212918,16.914729
2022-11-21,15,26.662370,3.271802,26.582383
2022-11-22,14,20.298082,3.562419,20.237188
2022-11-23,14,18.738073,3.145367,18.681859
2022-11-24,14,23.937185,3.50266,23.865373
2022-11-25,14,20.324637,3.008034,20.263663
2022-11-26,14,19.171016,2.717989,19.113503
2022-10-31,14,10.487059,1.901041,10.455598
2022-11-01,14,10.192660,1.849712,10.162082
2022-11-02,14,6.128529,1.082086,6.110143
2022-11-03,14,14.630403,2.391662,14.586512
2022-11-04,14,25.243531,3.728506,25.167800
2022-11-05,14,26.483961,3.473398,26.404509
2022-11-06,14,20.043881,3.03091,19.983749
2022-11-07,14,19.710236,3.213442,19.651105
2022-11-08,14,29.389927,3.722321,29.301757
2022-11-09,14,22.552809,3.061995,22.485151
2022-11-10,14,27.040950,3.30331,26.959827
2022-11-11,14,18.418840,3.308955,18.363583
2022-11-12,14,22.625566,3.163018,22.557689
2022-10-17,14,19.731935,2.872907,19.672739
2022-10-18,14,12.086096,2.131166,12.049838
2022-10-19,14,14.108861,2.861301,14.066534
2022-10-20,14,21.138108,3.210212,21.074694
2022-10-21,14,10.973949,2.127769,10.941027
2022-10-22,14,23.164312,3.329472,23.094819
2022-10-23,14,25.390625,3.56563,25.314453
2022-10-24,14,22.071761,3.424465,22.005546
2022-10-25,14,26.132111,3.594521,26.053715
2022-10-26,14,25.336666,3.223962,25.260656
2022-10-27,14,23.552976,3.383493,23.482317
2022-10-28,14,17.464313,3.466897,17.411920
2022-10-29,14,23.304073,3.367068,23.234161
2023-04-30,12,14.518840,1.96616,14.475283
2023-05-14,12,15.691376,2.529119,15.644302
2023-05-28,12,7.164251,1.84734,7.142758
2023-06-11,12,12.119619,2.251127,12.083260
2023-06-25,12,12.980074,2.17868,12.941134
2023-07-09,12,4.631498,0.836143,4.617604
2023-07-23,12,12.271356,2.249963,12.234542
2023-08-06,12,14.920416,2.380485,14.875655
2023-08-20,12,13.137618,2.560688,13.098205
2023-09-03,12,16.907842,2.873595,16.857118
2023-09-17,14,21.751280,3.107465,21.686026
2023-10-01,12,5.464245,1.379142,5.447852
2022-10-03,14,14.576892,3.126733,14.533161
2022-10-04,14,20.012124,3.043398,19.952088
2022-10-05,14,21.251752,3.25696,21.187997
2022-10-06,13,22.570624,3.374859,22.502912
2022-10-07,14,13.363130,2.884854,13.323041
2022-10-08,14,25.086838,3.63346,25.011577
2022-10-09,13,11.594994,2.397242,11.560209
2022-10-10,14,4.757713,0.883009,4.743440
2022-10-11,14,13.517326,2.271266,13.476774
2022-10-12,14,21.360410,3.37076,21.296329
2022-10-13,14,22.918352,3.41443,22.849597
2022-10-14,14,23.125063,3.290194,23.055688
2022-10-15,14,21.308251,3.0447,21.244326
